[WARN] The "pnpm" field in package.json is no longer read by pnpm. The following keys were ignored: "pnpm.overrides". See https://pnpm.io/settings for the new home of each setting.
$ node scripts/run-vwp-evals.mjs
EV id       | Slice   | Status
------------|---------|------------
EV-VWP-F1.1 | F-VWP-1 | PENDING
EV-VWP-F2.1 | F-VWP-2 | PENDING
EV-VWP-01.1 | SPEC-01 | PENDING
EV-VWP-01.2 | SPEC-01 | PENDING
EV-VWP-01.3 | SPEC-01 | PENDING
EV-VWP-01.4 | SPEC-01 | PENDING
EV-VWP-01.5 | SPEC-01 | PENDING
EV-VWP-01.6 | SPEC-01 | PENDING
EV-VWP-02.1 | SPEC-02 | PENDING
EV-VWP-02.2 | SPEC-02 | PENDING
EV-VWP-03.1 | SPEC-03 | PENDING
EV-VWP-03.2 | SPEC-03 | PENDING
EV-VWP-03.3 | SPEC-03 | PENDING
EV-VWP-03.4 | SPEC-03 | PENDING
EV-VWP-03.5 | SPEC-03 | PENDING
EV-VWP-04.1 | SPEC-04 | PENDING
EV-VWP-04.2 | SPEC-04 | PENDING
EV-VWP-04.3 | SPEC-04 | PENDING
EV-VWP-04.4 | SPEC-04 | PENDING
EV-VWP-04.5 | SPEC-04 | PENDING
EV-VWP-04.6 | SPEC-04 | PENDING
EV-VWP-04.7 | SPEC-04 | PENDING
EV-VWP-04.8 | SPEC-04 | PENDING
EV-VWP-07.1 | SPEC-07 | PENDING
EV-VWP-07.2 | SPEC-07 | PENDING
EV-VWP-05.1 | SPEC-05 | PENDING
EV-VWP-05.2 | SPEC-05 | PENDING
EV-VWP-05.3 | SPEC-05 | PENDING
EV-VWP-05.4 | SPEC-05 | PENDING
EV-VWP-05.5 | SPEC-05 | PENDING
EV-VWP-05.6 | SPEC-05 | PENDING
EV-VWP-05.7 | SPEC-05 | PENDING
EV-VWP-06.1 | SPEC-06 | PENDING
EV-VWP-06.2 | SPEC-06 | PENDING
EV-VWP-06.3 | SPEC-06 | PENDING
EV-VWP-06.4 | SPEC-06 | PENDING
EV-VWP-06.5 | SPEC-06 | PENDING
EV-VWP-06.6 | SPEC-06 | PENDING
EV-VWP-06.7 | SPEC-06 | PENDING
EV-VWP-09.1 | SPEC-09 | PENDING
EV-VWP-09.2 | SPEC-09 | PENDING
EV-VWP-09.3 | SPEC-09 | PENDING
EV-VWP-09.4 | SPEC-09 | PENDING
EV-VWP-09.5 | SPEC-09 | PENDING
EV-VWP-09.6 | SPEC-09 | PENDING
EV-VWP-10.1 | SPEC-10 | PENDING
EV-VWP-10.2 | SPEC-10 | PENDING
EV-VWP-10.3 | SPEC-10 | PENDING
EV-VWP-10.4 | SPEC-10 | PENDING
EV-VWP-10.5 | SPEC-10 | PENDING
EV-VWP-11.1 | SPEC-11 | PENDING
EV-VWP-11.2 | SPEC-11 | PENDING
EV-VWP-11.3 | SPEC-11 | PENDING
EV-VWP-11.4 | SPEC-11 | PENDING
EV-VWP-15.1 | SPEC-15 | PENDING
EV-VWP-15.2 | SPEC-15 | PENDING
EV-VWP-15.3 | SPEC-15 | PENDING
EV-VWP-15.4 | SPEC-15 | PENDING
EV-VWP-15.5 | SPEC-15 | PENDING
EV-VWP-15.6 | SPEC-15 | PENDING
EV-VWP-17.1 | SPEC-17 | PENDING
EV-VWP-17.2 | SPEC-17 | PENDING
EV-VWP-18.1 | SPEC-18 | PENDING
EV-VWP-18.2 | SPEC-18 | PENDING
EV-VWP-18.3 | SPEC-18 | PENDING
EV-VWP-18.4 | SPEC-18 | PENDING
EV-VWP-19.1 | SPEC-19 | PENDING
EV-VWP-19.2 | SPEC-19 | PENDING
EV-VWP-19.3 | SPEC-19 | PENDING
EV-VWP-19.4 | SPEC-19 | PENDING
EV-VWP-20.1 | SPEC-20 | PENDING
EV-VWP-20.2 | SPEC-20 | PENDING
EV-VWP-20.3 | SPEC-20 | PENDING
EV-VWP-20.4 | SPEC-20 | IMPLEMENTED
EV-VWP-20.5 | SPEC-20 | IMPLEMENTED
EV-VWP-21.1 | SPEC-21 | IMPLEMENTED
EV-VWP-21.2 | SPEC-21 | PENDING
EV-VWP-21.3 | SPEC-21 | PENDING
EV-VWP-21.4 | SPEC-21 | PENDING
EV-VWP-21.5 | SPEC-21 | IMPLEMENTED
EV-VWP-21.6 | SPEC-21 | PENDING
EV-VWP-21.7 | SPEC-21 | PENDING
EV-VWP-21.8 | SPEC-21 | PENDING
EV-VWP-22.1 | SPEC-22 | PENDING
EV-VWP-22.2 | SPEC-22 | PENDING
EV-VWP-22.3 | SPEC-22 | PENDING
EV-VWP-23.1 | SPEC-23 | PENDING
EV-VWP-23.2 | SPEC-23 | PENDING
EV-VWP-23.3 | SPEC-23 | PENDING
EV-VWP-23.4 | SPEC-23 | PENDING
EV-VWP-23.5 | SPEC-23 | PENDING
EV-VWP-23.6 | SPEC-23 | PENDING
EV-VWP-23.7 | SPEC-23 | PENDING

Summary: 4 IMPLEMENTED · 0 DECLARED · 89 PENDING · 93 TOTAL
Executable Vitest files: 4 PASS
Playwright trace files: 0 DISCOVERED
