id,area,source
E-001,Ownership and access,../2026-09-05-terroir-rebuild/scope.csv
E-002,Ownership and access,../2026-09-05-terroir-rebuild/scope.csv
E-003,Ownership and access,../2026-09-05-terroir-rebuild/scope.csv
E-004,Ownership and access,../2026-09-05-terroir-rebuild/scope.csv
E-005,Wine identity and matching,../2026-09-05-terroir-rebuild/scope.csv
E-006,Wine identity and matching,../2026-09-05-terroir-rebuild/scope.csv
E-007,Wine identity and matching,../2026-09-05-terroir-rebuild/scope.csv
E-008,Receiving and import,../2026-09-05-terroir-rebuild/scope.csv
E-009,Receiving and import,../2026-09-05-terroir-rebuild/scope.csv
E-010,Receiving and import,../2026-09-05-terroir-rebuild/scope.csv
E-011,Receiving and import,../2026-09-05-terroir-rebuild/scope.csv
E-012,Stock and custody,../2026-09-05-terroir-rebuild/scope.csv
E-013,Stock and custody,../2026-09-05-terroir-rebuild/scope.csv
E-014,Stock and custody,../2026-09-05-terroir-rebuild/scope.csv
E-015,Stock and custody,../2026-09-05-terroir-rebuild/scope.csv
E-016,Stock and custody,../2026-09-05-terroir-rebuild/scope.csv
E-017,Stock and custody,../2026-09-05-terroir-rebuild/scope.csv
E-018,Menus and operational totals,../2026-09-05-terroir-rebuild/scope.csv
E-019,Menus and operational totals,../2026-09-05-terroir-rebuild/scope.csv
E-020,Toast,../2026-09-05-terroir-rebuild/scope.csv
E-021,Toast,../2026-09-05-terroir-rebuild/scope.csv
E-022,Toast,../2026-09-05-terroir-rebuild/scope.csv
E-023,Toast,../2026-09-05-terroir-rebuild/scope.csv
E-024,Public discovery and comparison,../2026-09-05-terroir-rebuild/scope.csv
E-025,Public discovery and comparison,../2026-09-05-terroir-rebuild/scope.csv
E-026,Publication and assertions,../2026-09-05-terroir-rebuild/scope.csv
E-027,Publication and assertions,../2026-09-05-terroir-rebuild/scope.csv
E-028,Public discovery and comparison,../2026-09-05-terroir-rebuild/scope.csv
E-029,Operations and acceptance,../2026-09-05-terroir-rebuild/scope.csv
E-030,Operations and acceptance,../2026-09-05-terroir-rebuild/scope.csv
E-031,Operations and acceptance,../2026-09-05-terroir-rebuild/scope.csv
E-032,Operations and acceptance,../2026-09-05-terroir-rebuild/scope.csv
E-033,Operations and acceptance,../2026-09-05-terroir-rebuild/scope.csv
E-034,Ownership and access,../2026-09-05-terroir-rebuild/scope.csv
E-035,Stock and custody,../2026-09-05-terroir-rebuild/scope.csv
E-036,Collector workflows,../2026-09-05-terroir-rebuild/scope.csv
E-037,Collector workflows,../2026-09-05-terroir-rebuild/scope.csv
E-038,Collector workflows,../2026-09-05-terroir-rebuild/scope.csv
E-039,Collector workflows,../2026-09-05-terroir-rebuild/scope.csv
E-040,Collector workflows,../2026-09-05-terroir-rebuild/scope.csv
E-041,Collector workflows,../2026-09-05-terroir-rebuild/scope.csv
E-042,Collector workflows,../2026-09-05-terroir-rebuild/scope.csv
E-043,Collector workflows,../2026-09-05-terroir-rebuild/scope.csv
E-044,Sommelier and voice,../2026-09-05-terroir-rebuild/scope.csv
E-045,Sommelier and voice,../2026-09-05-terroir-rebuild/scope.csv
E-046,Supplier workflows,../2026-09-05-terroir-rebuild/scope.csv
E-047,Supplier workflows,../2026-09-05-terroir-rebuild/scope.csv
E-048,Supplier workflows,../2026-09-05-terroir-rebuild/scope.csv
E-049,Supplier workflows,../2026-09-05-terroir-rebuild/scope.csv
E-050,Supplier workflows,../2026-09-05-terroir-rebuild/scope.csv
E-051,Public discovery and comparison,../2026-09-05-terroir-rebuild/scope.csv
E-052,Seller handoff and commerce,../2026-09-05-terroir-rebuild/scope.csv
E-053,Seller handoff and commerce,../2026-09-05-terroir-rebuild/scope.csv
E-054,Seller handoff and commerce,../2026-09-05-terroir-rebuild/scope.csv
E-055,Seller handoff and commerce,../2026-09-05-terroir-rebuild/scope.csv
E-056,Community,../2026-09-05-terroir-rebuild/scope.csv
E-057,Community,../2026-09-05-terroir-rebuild/scope.csv
E-058,Community,../2026-09-05-terroir-rebuild/scope.csv
E-059,Publication and assertions,../2026-09-05-terroir-rebuild/scope.csv
E-060,Insights and sponsorship,../2026-09-05-terroir-rebuild/scope.csv
E-061,Insights and sponsorship,../2026-09-05-terroir-rebuild/scope.csv
E-062,Geographic expansion,../2026-09-05-terroir-rebuild/scope.csv
E-063,Seller handoff and commerce,../2026-09-05-terroir-rebuild/scope.csv
E-064,Toast,../2026-09-05-terroir-rebuild/scope.csv
E-065,Operations and acceptance,../2026-09-05-terroir-rebuild/scope.csv
E-066,Operations and acceptance,../2026-09-05-terroir-rebuild/scope.csv
E-067,Ownership and access,../2026-09-05-terroir-rebuild/scope.csv
E-068,Ownership and access,../2026-09-05-terroir-rebuild/scope.csv
