# error-message-inventory.csv -- user-facing error strings inventory (API error envelope messages + UI-defined fallback/boundary text). Scope EXCLUDES src/domains/import/, src/app/(app)/import/, and src/app/api/import/ -- owned by another workstream, not touched or inventoried here. harm_rank: 1=worst (no idea what to do), 2=wrong cause stated, 3=raw/technical leakage, 4=terse but honest, 5=already clear (lower priority). verified=yes means a test proves the route in reachable_state renders proposed_message; blank = not yet addressed by this pass of the loop.
id,source_file,line,code,current_message,surface,reachable_state,harm_rank,proposed_message,verified
ui-001,src/app/(app)/lists/[id]/components/brand-kit-panel.tsx,230,(client fallback),Something went wrong.,ui,Brand kit save/propose/apply request throws a non-Error value (fetch network failure with no Error instance),1,,
ui-002,src/app/(app)/scan/scanner.tsx,818,(client fallback),Unknown error.,ui,Scanner capture/upload fails with no error message available on the caught error state,1,,
api-003,src/app/api/open-bottles/[id]/close/route.ts,64,forbidden,Forbidden.,api,POST /api/open-bottles/:id/close,1,This bottle isn't in your restaurant. Refresh the page and try again.,yes
api-004,src/app/api/open-bottles/close/route.ts,83,forbidden,Forbidden,api,POST /api/open-bottles/close,1,This bottle isn't in your restaurant. Refresh the page and try again.,yes
api-005,src/app/api/open-bottles/route.ts,53,wine_not_found,Wine not found.,api,POST /api/open-bottles with a missing or cross-tenant wine,5,Wine not found.,yes
api-006,src/app/api/pour/route.ts,52,wine_not_found,Wine not found.,api,POST /api/pour with a missing or cross-tenant wine,5,Wine not found.,yes
api-007,src/app/api/pour/undo/route.ts,62,forbidden,Forbidden.,api,POST /api/pour/undo,1,This wine isn't in your restaurant. Refresh the page and try again.,yes
api-008,src/app/api/reconcile/route.ts,71,forbidden,Forbidden.,api,POST /api/reconcile,1,One or more of these wines aren't in your restaurant. Refresh the page and try again.,yes
api-009,src/app/api/restaurant/[id]/route.ts,94,forbidden,Forbidden.,api,PATCH /api/restaurant/:id,1,This restaurant doesn't match your account. Refresh the page and try again.,yes
api-010,src/app/api/restaurant/[id]/route.ts,125,forbidden,Forbidden.,api,DELETE /api/restaurant/:id,1,This restaurant doesn't match your account. Refresh the page and try again.,yes
api-011,src/app/api/reconcile-queue/accept/route.ts,58,identity_mismatch,(dynamic) error.message,api,? /api/reconcile-queue/accept,3,,
api-012,src/app/api/reconcile-queue/accept/route.ts,61,reconcile_conflict,(dynamic) error.message,api,? /api/reconcile-queue/accept,3,,
api-013,src/app/api/reconcile-queue/undo/route.ts,16,reconcile_conflict,(dynamic) error.message,api,? /api/reconcile-queue/undo,3,,
api-014,src/app/api/wine-lists/[id]/publish/route.ts,63,invalid_slug,(dynamic) error,api,POST /api/wine-lists/:id/publish,3,,
api-015,src/app/api/wines/[id]/image/route.ts,60,unsupported_media_type,(dynamic) error.message,api,POST /api/wines/:id/image,3,,
api-016,src/app/api/wines/[id]/image/route.ts,63,too_large,(dynamic) error.message,api,POST /api/wines/:id/image,3,,
api-017,src/app/api/wines/[id]/image/route.ts,69,internal_error,(dynamic) error.message,api,POST /api/wines/:id/image,3,,
api-018,src/app/api/wines/[id]/image/route.ts,99,internal_error,(dynamic) error.message,api,DELETE /api/wines/:id/image,3,,
api-019,src/app/api/wines/merge/route.ts,99,merge_rejected,(dynamic) rpcError.message,api,POST /api/wines/merge,3,,
api-020,src/app/api/wines/merge/route.ts,105,forbidden,(dynamic) rpcError.message,api,POST /api/wines/merge,3,,
ui-021,src/app/(app)/lists/[id]/components/publish-modal.tsx,81,(client fallback),Publish failed.,ui,POST /api/wine-lists/:id/publish response body has no error.error string to display,4,,
