existing_table,target_disposition,authority,owner
restaurants,"Replace operational tenancy with people, groups, businesses, venues and scoped grants. Explicitly map each retained legacy restaurant to an owning business and venue; do not infer a corporate hierarchy from its name. Replace signup/bootstrap behavior before admitting pilot accounts.",Proposed retention/transformation only; no delete approval,D
memberships,"Replace operational tenancy with people, groups, businesses, venues and scoped grants. Explicitly map each retained legacy restaurant to an owning business and venue; do not infer a corporate hierarchy from its name. Replace signup/bootstrap behavior before admitting pilot accounts.",Proposed retention/transformation only; no delete approval,D
invitations,"Replace operational tenancy with people, groups, businesses, venues and scoped grants. Explicitly map each retained legacy restaurant to an owning business and venue; do not infer a corporate hierarchy from its name. Replace signup/bootstrap behavior before admitting pilot accounts.",Proposed retention/transformation only; no delete approval,D
bins,Map to venue/business-scoped configuration; preserve useful values and IDs through a mapping manifest. Revalidate permissions on every configuration endpoint.,Proposed retention/transformation only; no delete approval,D
cellar_config,Map to venue/business-scoped configuration; preserve useful values and IDs through a mapping manifest. Revalidate permissions on every configuration endpoint.,Proposed retention/transformation only; no delete approval,D
reason_codes,Map to venue/business-scoped configuration; preserve useful values and IDs through a mapping manifest. Revalidate permissions on every configuration endpoint.,Proposed retention/transformation only; no delete approval,D
brand_kits,Map to venue/business-scoped configuration; preserve useful values and IDs through a mapping manifest. Revalidate permissions on every configuration endpoint.,Proposed retention/transformation only; no delete approval,D
canonical_wines,"Retain versioned reference inputs, matching provenance and tombstones. Promote only permitted assertions into separate public product/release/format and publication records. Historical ratings remain imported source evidence.",Proposed retention/transformation only; no delete approval,D
lwin_catalog,"Retain versioned reference inputs, matching provenance and tombstones. Promote only permitted assertions into separate public product/release/format and publication records. Historical ratings remain imported source evidence.",Proposed retention/transformation only; no delete approval,D
xwines_catalog,"Retain versioned reference inputs, matching provenance and tombstones. Promote only permitted assertions into separate public product/release/format and publication records. Historical ratings remain imported source evidence.",Proposed retention/transformation only; no delete approval,D
xwines_vintage_ratings,"Retain versioned reference inputs, matching provenance and tombstones. Promote only permitted assertions into separate public product/release/format and publication records. Historical ratings remain imported source evidence.",Proposed retention/transformation only; no delete approval,D
descriptors,"Retain versioned reference inputs, matching provenance and tombstones. Promote only permitted assertions into separate public product/release/format and publication records. Historical ratings remain imported source evidence.",Proposed retention/transformation only; no delete approval,D
lwin_xwines_links,"Retain versioned reference inputs, matching provenance and tombstones. Promote only permitted assertions into separate public product/release/format and publication records. Historical ratings remain imported source evidence.",Proposed retention/transformation only; no delete approval,D
lwin_xwines_link_tombstones,"Retain versioned reference inputs, matching provenance and tombstones. Promote only permitted assertions into separate public product/release/format and publication records. Historical ratings remain imported source evidence.",Proposed retention/transformation only; no delete approval,D
xwines_link_runs,"Retain versioned reference inputs, matching provenance and tombstones. Promote only permitted assertions into separate public product/release/format and publication records. Historical ratings remain imported source evidence.",Proposed retention/transformation only; no delete approval,D
wines,"Map private product references/overrides separately from global identity. Preserve source IDs, unresolved identities, merge and repair evidence. Unknown vintage gets an explicit state; resolve to NV only with evidence.",Proposed retention/transformation only; no delete approval,D
wine_variants,"Map private product references/overrides separately from global identity. Preserve source IDs, unresolved identities, merge and repair evidence. Unknown vintage gets an explicit state; resolve to NV only with evidence.",Proposed retention/transformation only; no delete approval,D
wine_aliases,"Map private product references/overrides separately from global identity. Preserve source IDs, unresolved identities, merge and repair evidence. Unknown vintage gets an explicit state; resolve to NV only with evidence.",Proposed retention/transformation only; no delete approval,D
wine_lineages,"Map private product references/overrides separately from global identity. Preserve source IDs, unresolved identities, merge and repair evidence. Unknown vintage gets an explicit state; resolve to NV only with evidence.",Proposed retention/transformation only; no delete approval,D
identity_merge_log,"Map private product references/overrides separately from global identity. Preserve source IDs, unresolved identities, merge and repair evidence. Unknown vintage gets an explicit state; resolve to NV only with evidence.",Proposed retention/transformation only; no delete approval,D
producer_backfill_audit,"Map private product references/overrides separately from global identity. Preserve source IDs, unresolved identities, merge and repair evidence. Unknown vintage gets an explicit state; resolve to NV only with evidence.",Proposed retention/transformation only; no delete approval,D
inventory_items,"Replace competing stock writes with lot-aware stock accounts, movements and balances. Retain legacy evidence; construct a reviewed opening balance at cutoff if historical reconstruction is incomplete. Never fabricate a fully reconstructed ledger.",Proposed retention/transformation only; no delete approval,D
open_bottles,"Replace competing stock writes with lot-aware stock accounts, movements and balances. Retain legacy evidence; construct a reviewed opening balance at cutoff if historical reconstruction is incomplete. Never fabricate a fully reconstructed ledger.",Proposed retention/transformation only; no delete approval,D
pour_events,"Replace competing stock writes with lot-aware stock accounts, movements and balances. Retain legacy evidence; construct a reviewed opening balance at cutoff if historical reconstruction is incomplete. Never fabricate a fully reconstructed ledger.",Proposed retention/transformation only; no delete approval,D
stock_adjustments,"Replace competing stock writes with lot-aware stock accounts, movements and balances. Retain legacy evidence; construct a reviewed opening balance at cutoff if historical reconstruction is incomplete. Never fabricate a fully reconstructed ledger.",Proposed retention/transformation only; no delete approval,D
bottle_closeouts,"Replace competing stock writes with lot-aware stock accounts, movements and balances. Retain legacy evidence; construct a reviewed opening balance at cutoff if historical reconstruction is incomplete. Never fabricate a fully reconstructed ledger.",Proposed retention/transformation only; no delete approval,D
availability_events,"Replace competing stock writes with lot-aware stock accounts, movements and balances. Retain legacy evidence; construct a reviewed opening balance at cutoff if historical reconstruction is incomplete. Never fabricate a fully reconstructed ledger.",Proposed retention/transformation only; no delete approval,D
invoice_scans,Preserve selected evidence/assets and request lineage; adapt intake commit to receipts/lots and the new atomic command. Retain old revert semantics only for legacy batches; a new import must reverse through the new stock command.,Proposed retention/transformation only; no delete approval,D
invoice_scan_deletions,Preserve selected evidence/assets and request lineage; adapt intake commit to receipts/lots and the new atomic command. Retain old revert semantics only for legacy batches; a new import must reverse through the new stock command.,Proposed retention/transformation only; no delete approval,D
scan_idempotency,Preserve selected evidence/assets and request lineage; adapt intake commit to receipts/lots and the new atomic command. Retain old revert semantics only for legacy batches; a new import must reverse through the new stock command.,Proposed retention/transformation only; no delete approval,D
import_sessions,Preserve selected evidence/assets and request lineage; adapt intake commit to receipts/lots and the new atomic command. Retain old revert semantics only for legacy batches; a new import must reverse through the new stock command.,Proposed retention/transformation only; no delete approval,D
import_batches,Preserve selected evidence/assets and request lineage; adapt intake commit to receipts/lots and the new atomic command. Retain old revert semantics only for legacy batches; a new import must reverse through the new stock command.,Proposed retention/transformation only; no delete approval,D
import_batch_rows,Preserve selected evidence/assets and request lineage; adapt intake commit to receipts/lots and the new atomic command. Retain old revert semantics only for legacy batches; a new import must reverse through the new stock command.,Proposed retention/transformation only; no delete approval,D
reconcile_actions,"Preserve legacy audit read access; new counts retain observation/cutoff and approved variance movements. Existing compensation records are evidence, not new transaction receipts.",Proposed retention/transformation only; no delete approval,D
reconcile_batches,"Preserve legacy audit read access; new counts retain observation/cutoff and approved variance movements. Existing compensation records are evidence, not new transaction receipts.",Proposed retention/transformation only; no delete approval,D
cellar_health,Rebuild derived projections from new stock/lot/money inputs; retain source provenance where needed. Do not migrate stale computed values as authoritative truth.,Proposed retention/transformation only; no delete approval,D
pricing_recommendations,Rebuild derived projections from new stock/lot/money inputs; retain source provenance where needed. Do not migrate stale computed values as authoritative truth.,Proposed retention/transformation only; no delete approval,D
wine_lists,Retain useful structure and content with mapped product IDs and explicit public projections. Revalidate public/private boundaries and generated exports.,Proposed retention/transformation only; no delete approval,D
wine_list_sections,Retain useful structure and content with mapped product IDs and explicit public projections. Revalidate public/private boundaries and generated exports.,Proposed retention/transformation only; no delete approval,D
wine_list_items,Retain useful structure and content with mapped product IDs and explicit public projections. Revalidate public/private boundaries and generated exports.,Proposed retention/transformation only; no delete approval,D
wine_notes,"Preserve audience, author/source and private ownership; map identity without promoting private notes. New editorial versions/rights are separate.",Proposed retention/transformation only; no delete approval,D
wine_note_descriptors,"Preserve audience, author/source and private ownership; map identity without promoting private notes. New editorial versions/rights are separate.",Proposed retention/transformation only; no delete approval,D
wine_reference_notes,"Preserve audience, author/source and private ownership; map identity without promoting private notes. New editorial versions/rights are separate.",Proposed retention/transformation only; no delete approval,D
background_jobs,Drain or explicitly cancel legacy work before routing changes. Map only supported resumable jobs; keep original dedupe identity. Do not restart stale workers against the target by default.,Proposed retention/transformation only; no delete approval,D
