id,feature,personas,slice,existing_outcome_mapping,conceptual_data,boundary,acceptance_evidence,common_blocking_suite
AI-F01,Find every stored bottle,Collectors and authorized staff,AI-1,E-044;E-005;E-007;E-012;E-013,Canonical identity;scoped stock placement projection,Server-derived grants;all authorized positive balances;no stale chat stock,Ambiguous name/vintage;multiple bins;unknown placement;move-after-chat;revoke;no cost leakage,SAFE-SCOPE;SAFE-REVOKE;SAFE-FIELDS;SAFE-TEXT;SAFE-ERASE;SAFE-OUTAGE
AI-F02,"Choose cellar, menu or buying mode",Collectors;restaurant staff;consumers,AI-1/AI-5,E-044;E-018;E-052;E-054,Session intent;source capabilities;catalog and offer projections,Available modes reflect implemented authorized sources,No silent substitution of shop results for owned stock;unavailable mode labeled,SAFE-SCOPE;SAFE-REVOKE;SAFE-FIELDS;SAFE-TEXT;SAFE-ERASE;SAFE-OUTAGE
AI-F03,"Set taste, occasion and budget",Consumers;collectors;request-scoped business context without a business taste profile,AI-2/AI-3,E-044;E-001,Explicit preferences;profile;consent;session context,Explicit current constraints outrank inference;anonymous contextual mode has no private history,New-user recommendations;conflicting preference;gift/business separation,SAFE-SCOPE;SAFE-REVOKE;SAFE-FIELDS;SAFE-TEXT;SAFE-ERASE;SAFE-OUTAGE
AI-F04,Rate and describe a wine,Collectors;hobbyists;reviewers;staff within their context,AI-2,E-001;E-005;E-007;E-036;E-038;E-044,Rating scale;rating/tasting record;descriptors;provenance,Original scales and personal/house/external sources stay separate,Scale validation;unknown versus NV;edit/delete;external score never called personal,SAFE-SCOPE;SAFE-REVOKE;SAFE-FIELDS;SAFE-TEXT;SAFE-ERASE;SAFE-OUTAGE
AI-F05,Record personal purchases and budget basis,Collectors;consumers,AI-2/AI-3,E-001;E-005;E-007;E-036;E-044,Acquisition lines;price observations;experience links,"Actual purchaser/purpose;comparable package,currency,channel,tax basis;explicit confirmation",Gift/restaurant/import exclusions;duplicate purchase+rating;ratings with no price,SAFE-SCOPE;SAFE-REVOKE;SAFE-FIELDS;SAFE-TEXT;SAFE-ERASE;SAFE-OUTAGE
AI-F06,Explain personalized recommendations,Consumers;collectors;business taste profiles deferred,AI-3,E-044,Recommendation run/candidates/evidence;derived taste features,Hard constraints first;only permitted evidence;actual eligible count,Last-nine distinct edition grain and stable ordering;two useful ratings among nine;no unsupported reason;no threshold as guarantee,SAFE-SCOPE;SAFE-REVOKE;SAFE-FIELDS;SAFE-TEXT;SAFE-ERASE;SAFE-OUTAGE
AI-F07,Answer wine knowledge questions with sources,Any user for public knowledge;authorized notes optionally,AI-4,E-024;E-026;E-027;E-044,Proposed terroir-reference-v1 manifest;rights;citations;optional embeddings inside approved boundary,Only source-approved assertions;publisher/producer attribution;withdrawal gates,Wrong vintage;conflicting sources;malicious source text;withdrawal;lexical fallback,SAFE-SCOPE;SAFE-REVOKE;SAFE-FIELDS;SAFE-TEXT;SAFE-ERASE;SAFE-OUTAGE
AI-F08,Learn from feedback without confusing signals,Consumers;collectors;staff,AI-3,E-044,Exposure items;feedback events;eligible candidate set or reconstructable catalog/stock/price snapshot versions at run creation;reason codes;90-day proposed retention,Unseen is unknown;dismissal reason and context retained;model versions attached,Position bias analysis;duplicate events;price dismissal not inferred as dislike;runs missing historical eligibility permanently excluded from AI-6,SAFE-SCOPE;SAFE-REVOKE;SAFE-FIELDS;SAFE-TEXT;SAFE-ERASE;SAFE-OUTAGE
AI-F09,"Inspect, correct, forget and export memory",Profile owners and authorized administrators,AI-2 onward,E-032;E-038;E-044,Preferences;memory assertions;source lineage;privacy revision;suppression receipts,"Distinct forget-inference,delete-source,disable and erase-history controls;exposures,feedback,personal candidate snapshots and links erased;no resurrection",Deletion during generation;stale worker;restore;export scope;disable personalization,SAFE-SCOPE;SAFE-REVOKE;SAFE-FIELDS;SAFE-TEXT;SAFE-ERASE;SAFE-OUTAGE
AI-F10,Keep personal and business contexts separate,Restaurant groups;collectors;producers;distributors,AI-1 onward,E-001;E-003;E-037;E-041;E-044,Server-derived membership/scope;single-actor personal profile;field-specific views;future sharing separately admitted,Membership is not permission to publish or copy;cost grants separate;gift hypothesis not recipient access,Cross-business IDs;revoked grants;context switch;confidential source copying,SAFE-SCOPE;SAFE-REVOKE;SAFE-FIELDS;SAFE-TEXT;SAFE-ERASE;SAFE-OUTAGE
AI-F11,Find a seller with honest availability and prices,Consumers;collectors;authorized purchasers,AI-5,E-047;E-052;E-053;E-054,Public offers or account-specific terms;observed-at;source/eligibility,No seller stock guarantee from stale observation;retail/menu/wholesale separate,Stale/withdrawn offer;regional eligibility;private quote leak;external handoff,SAFE-SCOPE;SAFE-REVOKE;SAFE-FIELDS;SAFE-TEXT;SAFE-ERASE;SAFE-OUTAGE
AI-F12,Keep working when AI is unavailable,Every persona,AI-1 onward,E-028;E-030;E-066;E-044,Typed tools;request budgets;safe telemetry;fallback UI,No model required for exact search and trusted cards;production spend separate from coding subscriptions,Timeout;tool limit;outage;degraded mode;accessible keyboard/mobile flow,SAFE-SCOPE;SAFE-REVOKE;SAFE-FIELDS;SAFE-TEXT;SAFE-ERASE;SAFE-OUTAGE
AI-F13,Improve with learned recommendations,Opted-in profiles with eligible feedback,AI-6,E-044;E-060;E-061,Versioned training manifest;eligible candidate snapshots;offline Python batch scores to Postgres;ranker artifact;rollback,Temporal evidence and consent required;no fixed signal-count graduation;no sponsored organic influence,Cold-start cohorts;historical availability;privacy withdrawal;accuracy/diversity/constraint regression,SAFE-SCOPE;SAFE-REVOKE;SAFE-FIELDS;SAFE-TEXT;SAFE-ERASE;SAFE-OUTAGE
AI-F14,Publish a selected personal recommendation or review,Opt-in public contributors,Later community admission,E-057;E-058;E-044,Explicit publication intent;attribution;public projection;moderation,Private memory/history never published automatically;no business terms in public reasons,Publication preview;foreign/private citations blocked;withdrawal and report/block,SAFE-SCOPE;SAFE-REVOKE;SAFE-FIELDS;SAFE-TEXT;SAFE-ERASE;SAFE-OUTAGE
