id,user_outcome,slice,existing_mapping,conceptual_data,acceptance
SIM-01,Show similar wines and meaningful taste differences,AI-3,AI-F06;E-005;E-007;E-044,Versioned edition sensory profiles and source coverage,Same region different style;cross-region similar style;unknown vintage;missing traits;source citations
SIM-02,Find similar wines within actual budget and availability,AI-3,AI-F06;E-044,Authorized eligible set;sensory neighbor query/cache;decision snapshot,Global top-k filtered empty triggers further authorized retrieval or abstention;no silent constraint relaxation
SIM-03,Recognize repeat personal purchase occasions honestly,AI-2/AI-3,AI-F05;AI-F08;E-036;E-044,Acquisition source IDs;occasion links;purpose;quantity;refund status,Case quantity versus separate occasions;duplicate imports;gift/business exclusion;low-rated repeated purchase;exact-nine grain unchanged
SIM-04,Support multiple personal tastes and exploratory variations,AI-3,AI-F03;AI-F06;E-038;E-044,Relevant liked/disliked anchors;explicit current request;source-backed traits,Riesling and Cabernet preferences coexist;less-oak request deliberate variation;no average taste collapse
SIM-05,Learn behavioral neighbors later with clear meaning,AI-6,AI-F13;E-044;E-060;E-061,Consented exposure-aware history;training manifest;retention and deletion,Behavioral similarity never labeled sensory equivalence;expired/private history excluded;organic ranking not sponsored
SIM-06,Browse wines from the same producer,Non-AI catalog navigation; later AI-3 tool exposure,E-005;E-024;E-027;E-044;E-046,Canonical producer/brand/importer/parent roles;source validity,Aliases resolve;shared parent not misrepresented as same producer;producer location not grape origin
SIM-07,Discover related producers by a stated dimension,AI-3,E-024;E-027;E-044;E-046,Rights-approved portfolio evidence;style/grape/region/practice facets;coverage,Explain which dimension matches;one atypical bottle not whole producer;no inferred shared ownership or prestige score
SIM-08,Explore wines from the same region or subregion,Non-AI catalog navigation; later AI-3 tool exposure,E-005;E-024;E-025;E-044,Grape-origin/appellation hierarchy;multiple-origin blends;source scope,Appellation level explicit;multi-region wines preserved;winery address not origin;unknown shares not invented
SIM-09,Compare regional vintages and weather context,AI-3 separately estimated outcome,E-024;E-025;E-026;E-044,Region/harvest-year contexts;weather source windows/units/geometry/quality;attributed commentary,Rainfall timing;hemisphere/growing-period alignment;solar radiation versus sunshine hours;missing data;no automatic taste or quality claims
SIM-10,Compare multidimensional wine taste profiles,AI-3,E-005;E-038;E-044,Perceived sweetness/sourness;aroma;body/astringency;chemistry separately;value-origin provenance,Dryness versus mouth drying;chemistry not perceived acidity;extraction checked;multiple preferences;independent held-out panel
